,parameter,value
0,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\2021-10-23_A3B_4Zn_Saureus_3
1,singlet_oxygen_diffusion_distance,8e-08
2,oxidation_angle,5
3,root_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\pdipy
4,well_solution_volume,7.5e-10
5,solution_depth,0.01
6,surface_area,7.5e-08
7,bacterial_specie,Saureus
8,stop_biofilm_threshold,0.05
9,oxidized_death_threshold,0.1
10,photosensitizer_selection,A3B_4Zn
11,soret,"{'upper': 4.3e-07, 'lower': 4.0000000000000003e-07}"
12,q,"{'upper': 6.25e-07, 'lower': 5.3e-07}"
13,photosensitizer_molar,1e-06
14,visible,"{'upper': 7.8e-07, 'lower': 3.9e-07}"
15,visible_proportion,0.5
16,watts,2.844e-09
17,initial_time,0
18,total_time,120.0
19,timestep,0.01
