,parameter,value
0,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\2021-10-19_A3B_4Zn_Saureus_8
1,singlet_oxygen_diffusion_distance,8e-08
2,oxidation_angle,5
3,root_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\pdipy\
4,bacterial_specie,Saureus
5,stop_biofilm_threshold,0.05
6,oxidized_death_threshold,0.1
7,porphyrin_selection,A3B_4Zn
8,soret,"{'upper': 4.3e-07, 'lower': 4.0000000000000003e-07}"
9,q,"{'upper': 6.25e-07, 'lower': 5.3e-07}"
10,visible,"{'upper': 7.8e-07, 'lower': 3.9e-07}"
11,visible_proportion,0.5
12,watts,0.03792
13,well_solution_volume,7.5e-10
14,initial_time,0
15,total_time,120.0
16,timestep,0.01
