,parameter,value
0,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\2021-10-20_A3B_4Zn_Saureus_12
1,singlet_oxygen_diffusion_distance,8e-08
2,oxidation_angle,5
3,root_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\pdipy\
4,well_solution_volume,7.5e-10
5,bacterial_specie,Saureus
6,stop_biofilm_threshold,0.05
7,oxidized_death_threshold,0.1
8,photosensitizer_selection,A3B_4Zn
9,soret,"{'upper': 4.3e-07, 'lower': 4.0000000000000003e-07}"
10,q,"{'upper': 6.25e-07, 'lower': 5.3e-07}"
11,visible,"{'upper': 7.8e-07, 'lower': 3.9e-07}"
12,visible_proportion,0.5
13,watts,0.03792
14,initial_time,0
15,total_time,120.0
16,timestep,0.01
